ID,title,rating,release_date,original_language,IMDb_ID,genre,plot,box_office_domestic,box_office_worldwide
98,Happy Death Day,6.659,2017-10-12,en,tt5308322,"Comedy, Horror, Mystery","A teenage girl, trying to enjoy her birthday, soon realizes that this is her final one. That is, if she can figure out who her killer is. She must relive that day, over and over again, dying in a different way each time. Can she solve her own murder?","$55,683,845",125479266
99,Saw X,7.178,2023-09-27,en,tt21807222,"Horror, Mystery, Thriller",A sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer only to discover the entire operation is a scam to defraud the most vulnerable.,"$53,607,898",125319714
100,The Curse of La Llorona,5.651,2019-04-17,en,tt4913966,"Horror, Mystery, Thriller","Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm. Their only hope to survive La Llorona's deadly wrath may be a disillusioned priest and the mysticism he practices to keep evil at bay, on the fringes where fear and faith collide.","$54,733,739",123233739
101,Zombieland: Double Tap,6.904,2019-10-09,en,tt1560220,"Action, Comedy, Horror","One long decade after the post-apocalyptic events in Zombieland (2009), the resilient quartet of survivors--the tough-as-nails zombie exterminator, Tallahassee; his rule-making comrade, Columbus; the free-spirited huntress, Wichita, and her younger sister, Little Rock--find themselves in the bosom of a now-derelict White House. However, in a rabid world still overrun by multitudes of walking dead and mutated strains of evolved animated corpses, a premeditated separation will send the team back to square one, searching, once more, for the promised land. Now, all hope rests on Babylon: an entirely organic commune of blissful vegetarian pacifists who love to party. Is this the end of the road?","$73,123,082",122810399
102,Insidious: Chapter 3,6.283,2015-05-28,en,tt3195644,"Horror, Mystery, Thriller","After trying to connect with her dead mother, teenager Quinn Brenner, asks psychic Elise Rainier to help her, she refuses due to negotiate events in her childhood. Quinn starts noticing paranormal events happen in her house. After a vicious attack from a demon her father goes back and begs Elise Rainier to use her abilities to contact the other side in hope to stop these attacks by this furious demon content for a body.","$52,218,558",120453155
103,The Omen,5.649,2006-06-06,en,tt0466909,"Drama, Fantasy, Horror","When the Vatican observatory Priest sees the appearance of a comet, the Church is sure that it confirms the eve of the Armageddon. Meanwhile, the U.S. President's godson Robert Thorn (Liev Schreiber) is informed in the maternity ward in Rome by Father Spiletto (Giovanni Lombardo Radice) that his wife Katherine (Julia Stiles) has just lost her baby and she had troubles with her uterus and would not have another pregnancy. Spiletto suggests to Robert that another just-born child that lost his mother could be the substituted for his son, and Robert accepts the child and gives him the name of ""Damien"". Robert is promoted to ambassador in London after a tragic accident. When Damien's nanny (Amy Huck) commits suicide during his birthday party, a substitute, Mrs. Baylock (Mia Farrow), comes to work and live with the family. Through the years, Katherine realizes that Damien is evil, while Robert is contacted by Father Brennan (Pete Postlethwaite), who tells him that Damien is the son of devil. When the Priest dies in a bizarre accident, photographer Keith Jennings (David Thewlis) shows evidence to Robert that the boy is the Antichrist. They travel to the town of Megiddo to learn how the boy can be stopped.","$54,607,383",119975084
104,The Shallows,6.351,2016-06-24,en,tt4052882,"Drama, Horror, Thriller","In the taut thriller The Shallows, when Nancy (Blake Lively) is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude.","$55,124,043",119100758
105,Final Destination 3,6.1,2006-02-09,en,tt0414982,"Horror, Thriller","When Wendy Christensen has a vision of an accident on a roller coaster, resulting in her and her friends' deaths, she instantly begins to panic and gets off the ride, causing some of her friends to get off as well. The remaining friends, including Wendy's boyfriend, are stuck on the roller coaster and find themselves involved in the accident. With Death waiting around the corner, Wendy and Kevin Fischer must try and work out Death's plan, before they and the remaining survivors end up dead.","$54,098,051",118890272
106,The Purge: Election Year,6.385,2016-06-29,en,tt4094724,"Action, Horror, Sci-Fi","It's been two years since Leo Barnes (Frank Grillo) stopped himself from a regrettable act of revenge on Purge Night. Now serving as head of security for Senator Charlie Roan (Elizabeth Mitchell), his mission is to protect her in a run for president and survive the annual ritual that targets the poor and innocent. But when a betrayal forces them onto the streets of D.C. on the one night when no help is available, they must stay alive until dawn...or both be sacrificed for their sins against the state.","$79,213,375",118587880
107,Saw V,6.173,2008-10-23,en,tt1132626,"Horror, Thriller","Detective Mark Hoffman is deemed a hero after he saves a young girl and ""escapes"" one of Jigsaw's games, or so it seems. Special Agent Peter Strahm is suspicious of him after an injured Agent Lindsay Perez says Hoffman's name. While Agent Strahm looks into Detective Hoffman's past, five people face a series of tests set up by Jigsaw.","$56,746,769",118209778
108,Warm Bodies,6.5,2013-01-31,en,tt1588173,"Action, Comedy, Horror","With much of the world's population now an undead horde, R is a young and oddly introspective zombie. While fighting with and feeding on a human scavenger party, R meets Julie and feels an urge to protect her. What happens next is the beginning of a strangely warm relationship that allows R to begin regaining his humanity. As this change spreads through the local undead population like a virus, Julie and R eventually have to face a larger issue when the very nature of their friendship is challenged. Caught between the paranoid human forces and the ferocious ""Bonies"", zombies who are a mutual threat, R and Julie must find a way to bridge the differences of each side to fight for a better world no one thought possible.","$66,380,662",117000000
109,Freddy vs. Jason,6.1,2003-08-15,en,tt0329101,Horror,"It's been nearly ten years since Freddy Krueger terrorized people in the dreams, and the towns folk want to keep him erased from their memory. Freddy still has one more plan on getting back to Elm Street. He resurrects Jason Voorhees and sends him off to kill. The more bodies which fall to the ground, the stronger in which Freddy becomes. This is until, Freddy realizes that Jason isn't going to step aside easily, and must be taken down himself.","$82,633,448",116643421
110,Abraham Lincoln: Vampire Hunter,5.763,2012-06-20,en,tt1611224,"Action, Fantasy, Horror","At the age of 9, Abraham Lincoln witnesses his mother being killed by a vampire, Jack Barts. Some 10 years later, he unsuccessfully tries to eliminate Barts but in the process makes the acquaintance of Henry Sturgess who teaches him how to fight and what is required to kill a vampire. The quid pro quo is that Abe will kill only those vampires that Henry directs him to. Abe relocates to Springfield where he gets a job as a store clerk while he studies the law and kills vampires by night. He also meets and eventually marries the pretty Mary Todd. Many years later as President of the United States, he comes to realize that vampires are fighting with the Confederate forces. As a result he mounts his own campaign to defeat them.","$37,519,139",116500000
111,A Nightmare on Elm Street,5.522,2010-04-30,en,tt1179056,"Crime, Drama, Horror","Death stalks the dreams of several young adults to claim its revenge on the killing of Freddy Kruger. Chased and chastised by this finger-bladed demon, it is the awakening of old memories and the denials of a past of retribution that spurns this hellish vision of a dreamlike state and turns death into a nightmare reality.","$63,075,011",115665418
112,The Collector,6.6,2009-07-09,en,tt0844479,"Horror, Thriller","When the Chase family moves to an isolated house in the middle of nowhere in Detroit, Arkin is hired to fix the windows and the doors. Later he meets his daughter and his wife that has a debt with dangerous sharks and needs money, but his week payment is not enough to pay her debts. Arkin plots to heist the safe of Michael Chase during the night to raise the necessary money. However, when he arrives in the house, he finds that a sadistic criminal has imprisoned the family and planted traps everywhere. Arkin seeks a way out of the deadly house to save his life.","$7,712,114",114000000
113,Godzilla Minus One,7.581,2023-11-03,ja,tt23289160,"Action, Adventure, Drama",A kamikaze pilot plagued by survivor's guilt seeks redemption when a giant monster he failed to kill is transformed by radiation from atomic bomb tests and lays siege to post-war Japan.,"$57,144,669",113676322
114,Pet Sematary,5.744,2019-04-04,en,tt0837563,"Horror, Mystery, Thriller","Louis Creed, his wife Rachel, and their two children, Gage and Ellie, move to a rural home where they are welcomed and enlightened about the eerie 'Pet Sematary' located nearby. After the tragedy of their cat being killed by a truck, Louis resorts to burying it in the mysterious pet cemetery, which is definitely not as it seems, as it proves to the Creeds that sometimes, dead is better.","$54,724,696",113118226
115,Final Destination,6.63,2000-03-17,en,tt0195714,"Horror, Thriller","Alex is boarding a plane to France on a school trip, when he suddenly gets a premonition that the plane will explode. Shortly after Alex, a group of students, and his teacher are thrown off the plane, to their horror, the plane does in fact explode. Alex must now work out Death's plan, as each of the survivors falls victim. Whilst trying to prevent the next death, Alex must also dodge the FBI, who believe that he caused the explosion.","$53,331,147",112880294
116,The Purge: Anarchy,6.628,2014-07-17,en,tt2975578,"Action, Horror, Sci-Fi","A couple are driving home when their car breaks down just as the Purge commences. Meanwhile, a police sergeant goes out into the streets to get revenge on the man who killed his son, and a mother and daughter run from their home after assailants destroy it. The five people meet up as they attempt to survive the night in Los Angeles.","$71,962,800",111928365
117,10 Cloverfield Lane,6.999,2016-03-10,en,tt1179933,"Drama, Horror, Sci-Fi","After getting in a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to ""get good on those"" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?","$72,082,998",110216998
118,The Amityville Horror,6.117,2005-04-14,en,tt0384806,Horror,"In December 1975, George and Kathy Lutz along with their three children move into an elegant Long Island house. What they don't know is that the house was the site of a horrific mass murder a year before. They decide to keep the house and attempt to keep the horror in the past, but are now haunted by a murderous presence. This is until, George starts to behave weirdly and their daughter, Chelsea starts to see people. What follows is 28 days of sheer, unbridled terror for the family with demonic visions of the dead. Based on the true story of George and Kathy Lutz, The Amityville Horror remains one of the most horrifying haunted house stories ever told - because it actually happened.","$65,233,369",107516369
119,The Texas Chainsaw Massacre,6.303,2003-05-21,en,tt0324216,Horror,"Driving through the backwoods of Texas, five youths pick up a traumatized hitchhiker, who shoots herself in their van. Shaken by the suicide, the group seeks help from the locals, but their situation becomes even more surreal when they knock on the door of a remote homestead. It's quickly apparent the residents are a family of inbred psychopaths, and the unlucky youths suddenly find themselves running for their lives. In hot pursuit is a disfigured, chainsaw-wielding cannibal known as Leatherface.","$80,571,655",107385515
120,Halloween Ends,6.035,2022-10-12,en,tt10665342,"Horror, Mystery, Romance",A cascade of violence and terror forces Laurie Strode to confront the evil she can't control.,"$64,079,860",105400796
121,Scary Stories to Tell in the Dark,6.489,2019-08-08,en,tt3387520,"Adventure, Horror, Mystery","It's 1968 in America. Change is blowing in the wind...but seemingly far removed from the unrest in the cities is the small town of Mill Valley where for generations, the shadow of the Bellows family has loomed large. It is in their mansion on the edge of town that Sarah, a young girl with horrible secrets, turned her tortured life into a series of scary stories, written in a book that has transcended time-stories that have a way of becoming all too real for a group of teenagers who discover Sarah's terrifying tomb.","$68,947,075",104545505
122,Jigsaw,6.216,2017-10-25,en,tt3348730,"Horror, Mystery, Thriller","It has been over a decade since Jigsaw died. However, after a new series of murders occurs, police find themselves chasing after the original Jigsaw Killer - John Kramer. Could John Kramer still be alive or is another killer out there with a different motive?","$38,052,832",104223315
123,The Cell,6.266,2000-08-18,en,tt0209958,"Crime, Horror, Sci-Fi","Catharine Deane is a psychotherapist who is part of a revolutionary new treatment which allows her mind to literally enter the mind of her patients. Her experience in this method takes an unexpected turn when an F.B.I. Agent comes to ask for a desperate favor. They had just tracked down a notorious serial killer, Carl Stargher, whose method of operation is to abduct women one at a time and place them in a secret area where they are kept for about forty hours until they are slowly drowned. Unfortunately, the killer has fallen into an irreversible coma which means he cannot confess where he has taken his latest victim before she dies. Now, Catherine Deane must race against time to explore the twisted mind of the killer to get the information she needs, but Stargher's damaged personality poses dangers that threaten to overwhelm her.","$61,334,059",104155843
124,Saw,7.418,2004-10-01,en,tt0387564,"Horror, Mystery, Thriller","Waking up in a bathroom, two men, Adam and Dr. Lawrence Gordon, discover they have been captured by the infamous Jigsaw Killer. The men must escape before time runs out, otherwise, they will face the deadly consequences.","$56,000,369",104045735
125,Ouija,5.133,2014-10-24,en,tt1204977,"Horror, Mystery, Thriller","A girl is mysteriously killed after recording herself playing with an ancient Ouija Board, which leads to a close group of friends to investigate this board. They later find out that some things aren't meant to be played with, especially the 'other side'.","$50,856,010",103600000
126,Resident Evil,6.649,2002-03-15,en,tt0120804,"Action, Horror, Sci-Fi","A virus has escaped in a secret facility called ""The Hive,"" turning the staff into hungry zombies and releasing the mutated Lab ""Animals"" that they were studying. The complex computer shuts down the base to prevent infection. The parent corporation sends in an elite military unit, where they meet Alice, who is suffering from amnesia due to exposure to nerve gas. The military team must shut down the computer and get out, fighting their way past zombies, mutants, and the computer itself, before the virus escapes and infects the rest of the world. Alice must also come to terms with her slowly-returning memories.","$40,119,709",102984862
127,My Bloody Valentine,5.576,2009-01-16,en,tt1179891,"Horror, Mystery, Thriller","In the mining town of Harmony, a drilling accident is caused by the son of the owner, Tom Hanniger. The mine collapses, burying six miners alive. The rescue team finds only Harry Warden alive, but in coma, and the other miners murdered by his pickax, and they conclude that Harry killed them to save oxygen for himself. On Valentine's Day, Harry awakes from his coma in the local hospital, and he kills twenty-two people, including a group of teenagers that are partying in the mine. Harry is killed by the deputy, but the only survivors are Tom Hanniger, his girlfriend Sarah, their friend Axel Palmer and his girlfriend Irene. Ten years later, Tom returns to Harmony after the death of his father. Tom has decided to sell the Hanniger Mine, and finds that Sarah has married Axel, who is now the local sheriff, and they have a son named Noah. On Valentine's Day, Harry Warden also returns, seeking revenge against those that had escaped his pickax in the past, and Tom is accused by Axel and other locals, who in turn makes accusations against Axel.","$51,545,952",102836002
128,Zombieland,7.26,2009-10-02,en,tt1156398,"Action, Comedy, Horror","Searching for family. In the early twenty-first century, zombies have taken over America. A shy and college student in Texas has survived by following his 30 rules: like ""look in the back seat,"" ""double-tap,"" ""avoid public restrooms."" He decides to travel to Ohio to see if his parents are alive. He gets a ride with a savage, brutal zombie-killer headed for Florida, and soon they confront a young woman whose sister has been bitten by a zombie and wants to be put out of her suffering. The sisters were headed to an LA park with atractions they've heard is without a zombie.","$75,590,286",102391540
129,Dawn of the Dead,7.05,2004-03-19,en,tt0363547,"Action, Horror","Ana goes home to her peaceful suburban residence, but she is unpleasantly surprised the morning that follows when her husband is brutally attacked by her zombified neighbor. In the chaos of her once picturesque neighborhood, Ana flees and stumbles upon a police officer named Kenneth, along with more survivors who decide that their best chances of survival would be found in the deserted Crossroads Shopping Mall. When supplies begin running low and other trapped survivors need help, the group comes to the realization that they cannot stay put forever at the Shopping Mall and devise a plan to escape.","$59,020,957",102278712
130,The Stepford Wives,5.677,2004-06-10,en,tt0327162,"Comedy, Horror, Sci-Fi","Joanna Eberhart, a wildly successful president of a TV Network, after a series of shocking events, suffers a nervous breakdown and is moved by her milquetoast of a husband, Walter, from Manhattan to the chic, upper-class, and very modern planned community of Stepford, Connecticut. Once there, she makes good friends with the acerbic Bobbie Markowitz, a Jewish writer who's also a recovering alcoholic. Together they find out, much to their growing stupor and-then horror, that all the housewives in town are strangely blissful and, somehow... doomed. What is going on behind the closed doors of the Stepford Men's Association and the Stepford Day Spa? Why is everything perfect here? Will it be too late for Joanna and Bobbie when they finally find out?","$59,484,742",102000000
131,The Devil Inside,4.681,2012-01-06,en,tt1560985,Horror,"An American girl, Isabella, sets out to make a documentary to understand what happened to her mother who murdered three clergy people. She was not convicted due to insanity and was sent to a mental hospital in Italy. Isabella meets with some priests in Italy who explain that her mother's condition may not be medical, but could be an extra-human possession.","$53,261,944",101800000
132,Silent Hill,6.617,2006-04-21,en,tt0384537,"Horror, Mystery","Sharon Da Silva wakes up every night screaming about ""Silent Hill"". Pursued by a police officer suspicious of her motives and swerving to avoid another child, her adoptive mother Rose crashes the car, knocking herself unconscious. When Rose awakens to find Sharon is missing, she searches the fog- and ash-blanketed town for her beloved daughter.","$46,982,632",100605135
133,Life,6.449,2017-03-22,en,tt5442430,"Horror, Sci-Fi, Thriller","Six astronauts aboard the space station study a sample collected from Mars that could provide evidence for extraterrestrial life on the Red Planet. The crew determines that the sample contains a large, single-celled organism - the first example of life beyond Earth. But..things aren't always what they seem. As the crew begins to conduct research, and their methods end up having unintended consequences, the life form proves more intelligent than anyone ever expected.","$30,234,022",100541806
134,Insidious,6.942,2011-03-31,en,tt1591095,"Horror, Mystery, Thriller","A gripping story of a family in search of help for their son, Dalton, who fell into a coma after a mysterious incident in the attic. Little do they know that there is much more to this endless sleep than meets the eye as they explore the paranormal, and rediscover the past; the key to getting their son back once and for all.","$54,009,150",100106454
135,Evil Dead,6.585,2013-04-05,en,tt1288558,"Horror, Thriller","Five twenty-something friends become holed up in a remote cabin. When they discover a Book of the Dead, they unwittingly summon up dormant demons living in the nearby woods, which possess the youngsters in succession until only one is left intact to fight for survival.","$54,239,856",99010045
136,The Visit,6.323,2015-09-10,en,tt3567288,"Horror, Mystery, Thriller","Two children spend a week at their grandparents' house while their single mom goes on a relaxing vacation with her boyfriend. Becca decides to film a documentary about her grandparents to help her mom reconnect with her parents, and to find out some things about her parents as well. While filming, Becca and her little brother Tyler discover a dark secret about their grandparents.","$65,206,105",98450062
137,Exhuma,7.505,2024-02-22,ko,tt27802490,"Horror, Mystery",The process of excavating an ominous grave unleashes dreadful consequences buried underneath.,"$2,310,900",97974828
138,Scream 4,6.476,2011-04-13,en,tt1262416,"Horror, Mystery","Sidney Prescott, now the author of a self-help book, returns home to Woodsboro on the last stop of her book tour. There she reconnects with Sheriff Dewey and Gale, who are now married, as well as her cousin Jill and her Aunt Kate. Unfortunately, Sidney's appearance also brings about the return of Ghostface, putting Sidney, Gale, and Dewey, along with Jill, her friends, and the whole town of Woodsboro in danger.","$38,180,928",97231420
139,The Rite,6.128,2011-01-28,en,tt1161864,"Drama, Horror, Mystery","Michael Kovak (Colin O'Donaghue), the son of a funeral director grows indifferent to his father and joins a Seminary. On his way to the course completion, he is overwhelmed by a strong lack of faith. His religious beliefs are further jolted when he sees a young girl haplessly dying in a road accident for whom he reluctantly performs the ritual to absolve her sins. His mentor still believes in him and urges him to go to Italy to take an exorcism course hoping that he it would strengthen his faith in Christianity. In Italy, he attends a session from Father Xavier (Ciarán Hinds), who soon becomes aware of his skepticism. As a result he sends him to an eminent Jesuit exorcist, Father Lucas Trevant (Sir Anthony Hopkins), whose ways though questionable are quite effective. He witnesses the exorcism of a sixteen year old girl but still seems unconvinced. Father Lucas explains to him that it takes multiple sessions over a long stretch of time to completely free a victim from the demon. Despite witnessing some supernatural occurrences during the aforesaid exorcism, Michael is as skeptical as ever. After the second exorcism, the girls condition becomes quite critical as she is moved to a hospital. She soon dies and the demon finds a new victim. As the moment of reckoning draws near, Michael may be the only hope left but first he must overcome his own doubts and apprehensions in order to fight and destroy the ominous forces.","$33,047,633",96047633
140,Poltergeist,5.223,2015-05-20,en,tt1029360,"Fantasy, Horror, Thriller","Legendary filmmaker Sam Raimi and director Gil Kenan reimagine and contemporize the classic tale about a family whose suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her.","$47,425,125",95682614
141,Truth or Dare,5.938,2018-04-12,en,tt6772950,"Horror, Mystery, Thriller","Olivia Barron, her best friend Markie Cameron, Markie's boyfriend Lucas Moreno, along with Penelope Amari and her boyfriend Tyson Curran, and Brad Chang go on a trip to Rosarito, Mexico. In Mexico, Olivia runs into fellow student Ronnie who proceeds to harass her until a man intervenes on her behalf. The man introduces himself as Carter and eventually convinces her and her friends to join him for drinks at the ruins of a mission. There, Carter initiates a game of Truth or Dare with Olivia and her friends, plus Ronnie, who followed the group. Eventually, the game ends when Carter reveals that he deceived Olivia as a means of tricking her and her friends to the mission to offer them in his place in the supernatural game of Truth or Dare. As Carter leaves, he explains to Olivia that the game will follow them and they must not refuse it..","$41,411,015",95330493
142,The Skeleton Key,6.62,2005-07-29,en,tt0397101,"Drama, Horror, Mystery","Nurse Caroline Ellis quits her job to take care of elderly Ben Devereux who had a stroke and can't talk. When she gets to his house in Terrebonne Parish, Louisiana, she meets Ben's wife Violet, who acts suspicious and creepy. The family's lawyer, Luke Marshall, convinces Caroline to stay. She goes to the attic and finds a secret room there full of spells, hair, and bones used to practice Hoodoo, but Violet says she has never seen this secret room. Caroline wants to help Ben, thinking that Violet has put a spell on him. She knows Hoodoo can't hurt someone who doesn't believe in it. Can Caroline save Ben, or will she end up being the one who needs to be saved?","$47,907,715",93983911
143,Goosebumps 2: Haunted Halloween,6.1,2018-10-11,en,tt5664636,"Adventure, Comedy, Fantasy","Teenager Sarah Quinn (Madison Iseman) lives with her mother Kathy (Wendi McLendon-Covey) and younger brother Sonny (Jeremy Ray Taylor) in Wardenclyffe, New York. Sarah is attempting to get into Columbia University by writing an essay about fear. Kathy agrees to watch Sonny's friend Sam Carter (Caleel Harris) while his father goes out of town. Sonny and Sam are attempting to start a garbage cleanup business, and are called after school to clean up an abandoned house. Inside, they find a locked manuscript and open it, causing Slappy the Dummy to appear. They unknowingly bring him to life by speaking magic words found in his pocket. The book is later stolen by a bully named Tommy Madigan (Payton Wich). At home, Sonny is working on his science project, a miniature version of Nikola Tesla's Wardenclyffe Tower. Slappy then reveals he's alive to Sonny and Sam, and gets their trust by using his magic to do the boy's chores and homework. Meanwhile, Sarah goes to a party to meet her boyfriend Tyler (Bryce Cass), but sees him kissing another girl. Later she arrives home and complains about him to Sonny and Sam, which Slappy overhears. Slappy then proceeds to sabotage Sonny's project..","$46,700,633",93320380
144,Talk to Me,7.1,2023-07-26,en,tt10638522,"Horror, Thriller","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","$48,299,436",91959188
145,Crawl,6.322,2019-07-10,en,tt8364368,"Action, Horror, Thriller","Against all logic, the competitive swimmer, Haley, drives into the mouth of a furiously destructive Category 5 hurricane on a collision course with her hometown of Florida, to check in on her estranged father, Dave. There, in their weather-beaten house amid a rapidly sinking and alligator-infested town, Haley and her father find themselves trapped in the labyrinthine mess of their flooded crawl space, where a merciless pair of six-metre predators is silently stalking them. Now--as Haley and Dave are gasping for air in the claustrophobic basement--only their will to survive can help them stand a chance against the scaly adversaries' powerful jaws. Can they escape without getting eaten alive?","$39,014,193",91542097
146,Friday the 13th,5.8,2009-02-11,en,tt0758746,"Horror, Mystery, Thriller","A group of young adults set up tent near the abandoned summer camp where a series of gruesome murders are said to have taken place back in 1980. The perpetrator was a grieving mother, driven insane by the drowning of her child, Jason, whom she believed was neglected by the camp counselors. As legend has it, the last survivor of the attacks beheaded the woman. But then Jason came back, and now he is a vengeful and inexorable killer, wielding crossbows, swords, axes and other sharp instruments. The legend proves horribly true, as these campers quickly discover. Six weeks later, the brother of one of those campers distributes posters of his missing sister. The police believe she took off with her boyfriend; but he knows better. The brother crosses paths with an uptight young rich guy who is having his girlfriend and friends over at his parents' cabin. The brother ends up at the cabin himself just before his sister's attacker sets upon them all.","$65,002,019",91509154
147,Drag Me to Hell,6.468,2009-05-27,en,tt1127180,Horror,"Christine Brown is a loan officer at a bank but is worried about her lot in life. She's in competition with a competent colleague for an assistant manager position and isn't too sure about her status with a boyfriend. Worried that her boss will think less of her if she shows weakness, she refuses a time extension on a loan to an old woman, Mrs. Ganush, who now faces foreclosure and the loss of her house. In retaliation, the old woman place a curse on her which, she subsequently learns, will result in her being taken to hell in a few days time. With the help of a psychic, she tries to rid herself of the demon, but faces several hurdles in the attempt.","$42,100,625",91388487
148,The Purge,6.251,2013-05-31,en,tt2184339,"Horror, Sci-Fi, Thriller","In an America wracked by crime and overcrowded prisons, the government has sanctioned an annual 12-hour period in which any and all criminal activity-including murder-becomes legal. The police can't be called. Hospitals suspend help. It's one night when the citizenry regulates itself without thought of punishment. On this night plagued by violence and an epidemic of crime, one family wrestles with the decision of who they will become when a stranger comes knocking. When an intruder breaks into James Sandin's (Ethan Hawke) gated community during the yearly lockdown, he begins a sequence of events that threatens to tear a family apart. Now, it is up to James, his wife, Mary (Lena Headey), and their kids to make it through the night without turning into the monsters from whom they hide.","$64,473,115",91266581
149,White Noise,5.607,2005-01-07,en,tt0375210,"Drama, Horror, Mystery","The car of successful author Anna Rivers is found disabled next to the river, the thought being that she accidentally fell into the river while trying to change a flat tire. Her dead body is found upstream several weeks later, consistent with the accidental death theory. Based on incidents around him, her grieving husband, architect Jonathan Rivers, decides several months later to visit with Raymond Price, who approached John prior to Anna's body being found with news that she was trying to contact him from beyond. At that time, John was skeptical of Raymond's claims of electronic voice phenomena (EVP): that he is contacted from the beyond through electronic means - radio, television - which he is able to record. Along with Sarah Tate, another of Raymond's ""clients"" whose fiancé passed away, John becomes obsessed with EVP as he gets more and more audio and video messages, however fuzzy, from Anna from beyond. That obsession takes a slight change in focus when John believes that Anna is trying to pass along information to help others. But the nature of those messages and their connection to Raymond in combination with John learning that not all good comes through EVP leads to the possible belief that he dabbling in EVP in and of itself may be dangerous and the cause of those potentially deadly issues in which he is supposed to assist in helping. John has to decide whether or not to continue with his work in EVP, not continuing which means that he may actually prevent bad things from happening, and continuing which means that he gets his much wanted connection with Anna.","$56,386,759",91196419
150,Final Destination 2,6.302,2003-01-31,en,tt0309593,"Horror, Thriller","Whilst heading onto the highway, Kimberly Corman has a vision of a huge car accident. Bringing the traffic to a halt, Kimberly is horrified when the accident actually happens. Kimberly links the occurrence with a similar event that occurred one year ago, on the same date that she had her premonition: the Flight 180 disaster. After speaking with Clear Rivers, the only remaining survivor of the Flight 180 disaster, Kimberly discovers that Death's pattern has been disturbed, meaning everyone who was originally supposed to die will now be killed in separate freak accidents. Kimberly and the remaining survivors must work with Clear to try and stop Death from repeating its process.","$46,961,214",90941129
151,Paranormal Activity: The Marked Ones,5.422,2014-01-01,en,tt2473682,"Horror, Mystery","Jesse begins experiencing a number of disturbing and unexplainable things after the death of his neighbor. As he investigates, it isn't long before Jesse finds he's been marked for possession by a malevolent demonic entity, and it's only a matter of time before he is completely under its control...","$32,462,372",90894962
152,Terrifier 3,6.796,2024-10-09,en,tt27911000,Horror,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,"$53,981,071",90322103
153,Old,6.322,2021-07-21,en,tt10954652,"Drama, Mystery, Thriller","This summer, visionary filmmaker M. Night Shyamalan unveils a chilling, mysterious new thriller about a family on a tropical holiday who discover that the secluded beach where they are relaxing for a few hours is somehow causing them to age rapidly - reducing their entire lives into a single day.","$48,276,510",90146510
154,Red Riding Hood,5.976,2011-03-10,en,tt1486185,"Fantasy, Horror, Mystery","Valerie (Seyfried) is a beautiful young woman torn between two men. She is in love with a brooding outsider, Peter (Fernandez), but her parents have arranged for her to marry the wealthy Henry (Irons). Unwilling to lose each other, Valerie and Peter are planning to run away together when they learn that Valerie's older sister has been killed by the werewolf that prowls the dark forest surrounding their village. For years, the people have maintained an uneasy truce with the beast, offering the creature a monthly animal sacrifice. But under a blood red moon, the wolf has upped the stakes by taking a human life. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon (Oldman), to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them. As the death toll rises with each moon, Valerie begins to suspect that the werewolf could be someone she loves. As panic grips the town, Valerie discovers that she has a unique connection to the beast--one that inexorably draws them together, making her both suspect...and bait.","$37,662,162",89162162
155,The Host,6.974,2006-07-27,ko,tt0468492,"Drama, Horror, Sci-Fi","An American military base of Yongson releases toxic chemicals in the drain to the Han River under the direct order of an arrogant coroner. Six years later, a mutant squid monster leaves the water and attacks people on the side of the river.","$2,201,923",88489643
156,Deliver Us from Evil,6.248,2014-07-01,en,tt2377322,"Crime, Horror, Mystery","In DELIVER US FROM EVIL, New York police officer Ralph Sarchie (Eric Bana), struggling with his own personal issues, begins investigating a series of disturbing and inexplicable crimes. He joins forces with an unconventional priest (Edgar Ramirez), schooled in the rituals of exorcism, to combat the frightening and demonic possessions that are terrorizing their city. Based upon the book, which details Sarchie's bone-chilling real-life cases.","$30,577,122",87937815
157,Hereditary,7.292,2018-06-07,en,tt7784604,"Drama, Horror, Mystery","When her mentally ill mother passes away, Annie (Toni Collette), her husband (Gabriel Byrne), son (Alex Wolff), and daughter (Milly Shapiro) all mourn her loss. The family turn to different means to handle their grief, including Annie and her daughter both flirting with the supernatural. They each begin to have disturbing, otherworldly experiences linked to the sinister secrets and emotional trauma that have been passed through the generations of their family.","$44,069,456",87796204
